Sex,Site,State,Year,Rate
Both,All Sites,Utah,2010,159
Both,All Sites,Virginia,2010,144
Both,All Sites,Vermont,2010,159.4
Both,All Sites,Washington,2010,161.3
Both,All Sites,Wisconsin,2010,161
Both,All Sites,West Virginia,2010,188.2
Both,All Sites,Wyoming,2010,162.1
Both,All Sites,Alaska,2011,140.8
Both,All Sites,Alabama,2011,155.2
Both,All Sites,Arkansas,2011,145.7
Both,All Sites,Arizona,2011,143.7
Both,All Sites,California,2011,141.2
Both,All Sites,Colorado,2011,143.7
Both,All Sites,Connecticut,2011,178
Both,All Sites,District of Columbia,2011,190.2
Both,All Sites,Delaware,2011,178.8
Both,All Sites,Florida,2011,167.4
Both,All Sites,Georgia,2011,160.1
Both,All Sites,Hawaii,2011,167
Both,All Sites,Idaho,2011,144.3
Both,All Sites,Illinois,2011,160.3
Both,All Sites,Indiana,2011,160.9
Both,All Sites,Iowa,2011,164.9
Both,All Sites,Kansas,2011,170
Both,All Sites,Kentucky,2011,180.4
Both,All Sites,Louisiana,2011,165.5
Both,All Sites,Massachusetts,2011,170.1
Both,All Sites,Maryland,2011,154.5
Both,All Sites,Maine,2011,169.8
Both,All Sites,Michigan,2011,166.6
Both,All Sites,Minnesota,2011,168.3
Both,All Sites,Missouri,2011,158.1
Both,All Sites,Mississippi,2011,162.8
Both,All Sites,Montana,2011,158.6
Both,All Sites,North Carolina,2011,168.9
Both,All Sites,North Dakota,2011,148.2
Both,All Sites,Nebraska,2011,152.4
Both,All Sites,New Hampshire,2011,184.6
Both,All Sites,New Jersey,2011,172.8
Both,All Sites,New Mexico,2011,141.7
Both,All Sites,Nevada,2011,131.5
Both,All Sites,New York,2011,178.3
Both,All Sites,Ohio,2011,167.3
Both,All Sites,Oklahoma,2011,149.2
Both,All Sites,Oregon,2011,158.8
Both,All Sites,Pennsylvania,2011,180.7
Both,All Sites,Rhode Island,2011,174.7
Both,All Sites,South Carolina,2011,161.5
Both,All Sites,South Dakota,2011,161.2
Both,All Sites,Tennessee,2011,168.5
Both,All Sites,Texas,2011,141.7
Both,All Sites,Utah,2011,158.7
Both,All Sites,Virginia,2011,146.8
Both,All Sites,Vermont,2011,179.3
Both,All Sites,Washington,2011,159.3
Both,All Sites,Wisconsin,2011,165.3
Both,All Sites,West Virginia,2011,185.3
Both,All Sites,Wyoming,2011,153.8
Both,All Sites,Alaska,2012,143.7
Both,All Sites,Alabama,2012,164.3
Both,All Sites,Arkansas,2012,154.3
Both,All Sites,Arizona,2012,142.8
Both,All Sites,California,2012,142.6
Both,All Sites,Colorado,2012,141.8
Both,All Sites,Connecticut,2012,177.9
Both,All Sites,District of Columbia,2012,169.3
Both,All Sites,Delaware,2012,164.1
Both,All Sites,Florida,2012,164.6
Both,All Sites,Georgia,2012,161.5
Both,All Sites,Hawaii,2012,171.5
Both,All Sites,Idaho,2012,156.8
Both,All Sites,Illinois,2012,156.8
Both,All Sites,Indiana,2012,162.8
Both,All Sites,Iowa,2012,160.7
Both,All Sites,Kansas,2012,167.5
Both,All Sites,Kentucky,2012,183.4
Both,All Sites,Louisiana,2012,167.8
Both,All Sites,Massachusetts,2012,169.3
Both,All Sites,Maryland,2012,158.6
Both,All Sites,Maine,2012,169.3
